order,image,protein,exact_predictTop1,countSimilarityTop1,exact_predictTop3,countSimilarityTop3,exact_predictTop5,countSimilarityTop5,exact_predictTop10,countSimilarityTop10,exact_predictTop20,countSimilarityTop20,exact_predictTop50,countSimilarityTop50
52,8DNM/49.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
53,8DNM/50.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
54,8DNM/51.png,8DNM,False,False,False,False,False,False,False,False,False,False,True,True
55,8DNM/52.png,8DNM,False,False,False,False,False,False,True,True,True,True,True,True
56,8DNM/53.png,8DNM,False,False,False,False,False,False,False,False,False,False,False,False
57,8DNO/1.png,8DNO,False,False,False,True,False,True,True,True,True,True,True,True
58,8DNO/2.png,8DNO,False,False,False,False,False,True,False,True,True,True,True,True
59,8DNO/3.png,8DNO,False,False,False,True,False,True,False,True,False,True,False,True
60,8DNO/4.png,8DNO,True,True,True,True,True,True,True,True,True,True,True,True
61,8DNO/5.png,8DNO,False,False,False,False,False,True,True,True,True,True,True,True
62,8DNO/6.png,8DNO,False,False,True,True,True,True,True,True,True,True,True,True
63,8DNO/7.png,8DNO,False,True,True,True,True,True,True,True,True,True,True,True
64,8DNO/8.png,8DNO,False,False,True,True,True,True,True,True,True,True,True,True
65,8DNO/9.png,8DNO,False,False,True,True,True,True,True,True,True,True,True,True
66,8DNO/10.png,8DNO,False,False,False,False,False,False,False,False,True,True,True,True
67,8DNO/11.png,8DNO,False,False,False,False,False,False,True,True,True,True,True,True
68,8DNO/12.png,8DNO,False,False,True,True,True,True,True,True,True,True,True,True
69,8DNO/13.png,8DNO,False,False,False,False,False,False,False,False,False,False,False,True
70,8DNO/14.png,8DNO,False,False,False,False,False,False,False,False,False,False,True,True
71,8DNO/15.png,8DNO,True,True,True,True,True,True,True,True,True,True,True,True
72,8DNO/16.png,8DNO,False,False,True,True,True,True,True,True,True,True,True,True
73,8DNP/1.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
74,8DNP/2.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
75,8DNP/3.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
76,8DNP/4.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
77,8DNP/5.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
78,8DNP/6.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
79,8DNP/7.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
80,8DNP/8.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
81,8DNP/9.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
82,8DNP/10.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
83,8DNP/11.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
84,8DNP/12.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
85,8DNP/13.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
86,8DNP/14.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
87,8DNP/15.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
88,8DNP/16.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
89,8DNP/17.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
90,8DNP/18.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
91,8DNP/19.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
92,8DNP/20.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
93,8DNP/21.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
94,8DNP/22.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
95,8DNP/23.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
96,8DNP/24.png,8DNP,False,False,False,False,False,False,False,False,False,False,False,False
97,8DNS/1.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
98,8DNS/2.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
99,8DNS/3.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
100,8DNS/4.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
101,8DNS/5.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
102,8DNS/6.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
103,8DNS/7.png,8DNS,False,False,False,False,False,False,False,False,True,True,True,True
104,8DNS/8.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
105,8DNS/9.png,8DNS,False,False,False,False,False,False,False,False,False,False,True,True
106,8DNS/10.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
107,8DNS/11.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
108,8DNS/12.png,8DNS,False,False,False,False,False,False,False,False,False,False,False,False
109,8DNU/1.png,8DNU,False,False,False,False,False,False,False,True,False,True,False,True
110,8DNU/2.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
111,8DNU/3.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
112,8DNU/4.png,8DNU,False,False,False,False,False,False,False,True,False,True,False,True
113,8DNU/5.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
114,8DNU/6.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
115,8DNU/7.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
116,8DNU/8.png,8DNU,False,False,False,False,False,False,False,False,False,False,False,False
117,8DNU/9.png,8DNU,False,False,False,False,False,False,False,False,False,True,False,True
118,8DNU/10.png,8DNU,False,False,False,True,False,True,False,True,False,True,False,True
119,8DNU/11.png,8DNU,False,True,False,True,False,True,False,True,False,True,False,True
120,8DNU/12.png,8DNU,False,True,False,True,False,True,False,True,False,True,False,True
121,8EM2/1.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
122,8EM2/2.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
123,8EM2/3.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
124,8EM2/4.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
125,8EM2/5.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
126,8EM2/6.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
127,8EM2/7.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
128,8EM2/8.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
129,8EM2/9.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
130,8EM2/10.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
131,8EM2/11.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
132,8EM2/12.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
133,8EM2/13.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
134,8EM2/14.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
135,8EM2/15.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
136,8EM2/16.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
137,8EM2/17.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
138,8EM2/18.png,8EM2,False,False,False,False,False,False,False,False,False,False,False,False
139,8EMS/1.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
140,8EMS/2.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
141,8EMS/3.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
142,8EMS/4.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
143,8EMS/5.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
144,8EMS/6.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
145,8EMS/7.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
146,8EMS/8.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
147,8EMS/9.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
148,8EMS/10.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
149,8EMS/11.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
150,8EMS/12.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
151,8EMS/13.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
152,8EMS/14.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
153,8EMS/15.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
154,8EMS/16.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
155,8EMS/17.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
156,8EMS/18.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
157,8EMS/19.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
158,8EMS/20.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
159,8EMS/21.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
160,8EMS/22.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
161,8EMS/23.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
162,8EMS/24.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
163,8EMS/25.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
164,8EMS/26.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
165,8EMS/27.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
166,8EMS/28.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
167,8EMS/29.png,8EMS,False,False,False,False,False,False,False,False,False,False,False,False
168,8EMT/1.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
169,8EMT/2.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
170,8EMT/3.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
171,8EMT/4.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
172,8EMT/5.png,8EMT,False,False,False,False,False,False,False,False,False,False,True,True
173,8EMT/6.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
174,8EMT/7.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
175,8EMT/8.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
176,8EMT/9.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
177,8EMT/10.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
178,8EMT/11.png,8EMT,False,False,False,False,False,False,False,False,False,False,False,False
179,8ENE/1.png,8ENE,False,False,False,False,False,True,False,True,False,True,True,True
180,8ENE/2.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,False
181,8ENE/3.png,8ENE,False,False,False,False,False,False,False,False,False,True,False,True
182,8ENE/4.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,True
183,8ENE/5.png,8ENE,False,False,False,True,False,True,False,True,False,True,True,True
184,8ENE/6.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,True
185,8ENE/7.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,True
186,8ENE/8.png,8ENE,False,False,False,True,False,True,False,True,False,True,False,True
187,8ENE/9.png,8ENE,False,False,False,True,False,True,False,True,False,True,True,True
188,8ENE/10.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,True
189,8ENE/11.png,8ENE,False,False,False,False,False,False,False,False,False,True,False,True
190,8ENE/12.png,8ENE,False,False,False,True,False,True,False,True,False,True,True,True
191,8ENE/13.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,True
192,8ENE/14.png,8ENE,False,False,False,False,False,True,False,True,False,True,False,True
193,8ENE/15.png,8ENE,False,False,False,False,False,True,False,True,False,True,False,True
194,8ENE/16.png,8ENE,False,False,False,False,False,False,False,False,False,False,False,False
195,8ENE/17.png,8ENE,False,False,False,True,False,True,False,True,False,True,True,True
196,8ENE/18.png,8ENE,False,False,False,True,False,True,False,True,False,True,True,True
197,8ENE/19.png,8ENE,False,False,False,False,False,False,False,True,False,True,False,True
198,8ENE/20.png,8ENE,False,True,False,True,False,True,False,True,False,True,True,True
199,8EOJ/1.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
200,8EOJ/2.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
201,8EOJ/3.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
202,8EOJ/4.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
203,8EOJ/5.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
204,8EOJ/6.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
205,8EOJ/7.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
206,8EOJ/8.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
207,8EOJ/9.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
208,8EOJ/10.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
209,8EOJ/11.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
210,8EOJ/12.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
211,8EOJ/13.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
212,8EOJ/14.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
213,8EOJ/15.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
214,8EOJ/16.png,8EOJ,False,False,False,False,False,False,False,False,False,False,False,False
215,8EOR/1.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
216,8EOR/2.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
217,8EOR/3.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
218,8EOR/4.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
219,8EOR/5.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
220,8EOR/6.png,8EOR,False,False,False,False,False,False,False,False,False,False,True,True
221,8EOR/7.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
222,8EOR/8.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
223,8EOR/9.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
224,8EOR/10.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
225,8EOR/11.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
226,8EOR/12.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
227,8EOR/13.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
228,8EOR/14.png,8EOR,False,False,False,False,False,False,False,False,False,False,True,True
229,8EOR/15.png,8EOR,False,False,False,False,False,False,False,False,False,False,False,False
